,Unnamed: 0,Accession Number,Artist - Sort Name,Full Title,Portfolio (Series) Title,Creation Date,Height,Width,Depth,Media & Support,Credit Line,Class Type
0,5393,1946.42,"Dummer, Jeremiah",Porringer,,1690,1.75,0,0,silver,bequest of James B. Neale,D: Decorative Arts
1,723,1941.74,anonymous,Chest with Drawers,,1700,37,39.625,0,"oak, pine, and sycamore with brass handles","gift of Judge and Mrs. John M. Woolsey, Sr. (PA 1894)",D: Decorative Arts
2,5394,1946.43,"Dummer, Jeremiah",porringer,,1700,1.75,0,0,silver,bequest of James B. Neale,D: Decorative Arts
3,12890,1946.79,"Oliver, Peter",Tankard,,1705,7,8.5,0,silver,bequest of James B. Neale,D: Decorative Arts
4,2875,1946.35,"Boelen, II, Henricus",Porringer,,1705,1.625,7.75,0,silver,bequest of James B. Neale,D: Decorative Arts
5,1182,2001.29,anonymous,The Reverend Samuel Treat,,1707,29.625,24.375,0,oil on canvas,gift of Carol P. Ganson,A: Painting
6,1181,2001.28,anonymous,Abigail Willard Estabrook Treat (Mrs. Samuel),,1707,29.625,24.375,0,oil on canvas,gift of Carol P. Ganson,A: Painting
7,4097,1987.201,"Coney, John",Tankard,,1715,8,4.8125,0,silver,museum purchase,D: Decorative Arts
8,8829,1946.73,"Jones, William",Porringer,,1725,2.125,5,0,silver,bequest of James B. Neale,D: Decorative Arts
9,8828,1930.306,"Jones, William",Porringer,,1725,2,2.5,0,silver,gift of anonymous donor,D: Decorative Arts
10,8056,1944.77,"Hesselius, Gustavus",Colonel Thomas Addison,,1727,30.1875,25.125,0,oil on canvas,gift of Mrs. Cornelius N. Bliss,A: Painting
11,13985,1946.87,"Revere, Sr., Paul",Dredger,,1730,3.5625,0,0,silver,bequest of James B. Neale,D: Decorative Arts
12,15209,1958.55,"Smibert, John",William Lambert,,1734,35.875,28.125,0,oil on canvas,museum purchase,A: Painting
13,3179,1946.32,"Burt, John",Porringer,,1735,1.8125,5.125,0,silver,bequest of James B. Neale,D: Decorative Arts
14,3180,1946.33,"Burt, John",Cann,,1735,5.0625,3.0625,0,silver,bequest of James B. Neale,D: Decorative Arts
15,14154,1946.89,"Roosevelt, Nicholas",Bowl,,1738,2.5,5.875,0,silver,bequest of James B. Neale,D: Decorative Arts
16,654,1930.380,anonymous,John Read,,1738,29.9375,24.9375,0,oil on canvas,gift of anonymous donor,A: Painting
17,17935,1987.202,"Wynkoop, Cornelius",Tankard,,1740,6.75,0,0,silver,bequest of James B. Neale,D: Decorative Arts
18,8589,1930.304,"Hurd, Jacob",Porringer,,1740,1.875,7.875,0,silver,gift of anonymous donor,D: Decorative Arts
19,2588,1940.25,"Billings, Phoebe Denison",Bed Rug,,1741,95,93.5,0,wool worked on wool ground,bequest of Henry Perkins Moseley,D: Decorative Arts
20,13122,1943.37,"Pelham, Peter",Thomas Prince,,1750,11.9375,9.5625,0,mezzotint on wove paper,museum purchase,F: Prints
21,7300,2009.81,"Greenwood, John",Portrait of Reverend Samuel Phillips,,1750,30.25,25,0,oil on canvas,gift of Mark and Juliana Phillips,A: Painting
22,3289,1946.39,"Casey, Samuel",Porringer,,1750,1.75,0,0,silver,bequest of James B. Neale,D: Decorative Arts
23,861,1969.46,anonymous,Side Chair,,1750,0,0,0,walnut with maple secondary,gift of Mrs. Frederick B. Walker,D: Decorative Arts
24,7299,1955.9,"Greenwood, John",Man in Green Coat,,1750,49.875,40.125,0,oil on canvas,museum purchase,A: Painting
25,14271,1930.318,"Russell, Daniel ",Tankard,,1750,5.5,3.5625,0,silver,gift of anonymous donor,D: Decorative Arts
26,3035,1946.27,"Breed, William",Teapot,,1750,5.6875,8.75,0,silver with wood handle,bequest of James B. Neale,D: Decorative Arts
27,5824,1930.302,"Edwards, Samuel",Tankard,,1750,7.75,5.5,0,silver,gift of anonymous donor,D: Decorative Arts
28,8590,2011.27,"Hurd, Jacob",Teapot,,1750,0,9.75,0,silver with wood handle,"purchased as the gift of Sidney R. Knafel (PA 1948), Stephen C. Sherrill (PA 1971), Bernard G. Palitz (PA 1942), William Heidrich (PA 1972), S.J. Shrubsole Corp., Thomas Foley (PA 1971), J. Mark Rudkin (PA 1947), Kuni and Michael Schmertzler (PA 1970)",D: Decorative Arts
29,6429,1962.6,"Foxcroft, Elizabeth or Mehetable",The Arms of Foxcroft and Coney,,1750,31.5,28.5,0,"silk, gold, and silver metallic threads, beads, and paint on silk and velvet",gift of C. Lloyd Thomas,D: Decorative Arts
30,4198,1937.4,"Copley, John Singleton",Battle Scene,,1754,3.625,7,0,iron gall and black ink on laid paper,museum purchase,E: Work on Paper
31,17850,1944.79,"Wollaston, John",Margaret Dulany Hamilton (?),,1754,30.125,25,0,oil on canvas,gift of Mrs. Cornelius N. Bliss,A: Painting
32,8019,1959.45,"Henchman, Daniel",Tankard,,1759,9.0625,7.5,0,silver,museum purchase,D: Decorative Arts
33,1014,1995.47,anonymous,Chest on Chest,,1760,90,45,0,mahogany and spruce with brass handles,gift of Mr. and Mrs. Melville Chapin (PA 1936) in memory of E. Barton Chapin (PA 1903) and his wife Jeannette Thomas Chapin,D: Decorative Arts
34,2064,1941.43,"Badger, Joseph",Capt. Daniel Mackay,,1760,30,25.5,0,oil on canvas,museum purchase,A: Painting
35,7782,1946.59,"Hammersely, Thomas",Cann,,1760,4.75,0,0,silver,bequest of James B. Neale,D: Decorative Arts
36,8184,1946.64,"Hollingshead, William",Salver,,1762,1.375,0,0,silver,bequest of James B. Neale,D: Decorative Arts
37,14153,1930.317,"Roosevelt, Nicholas",[porringer],,1762,6.875,4.375,0,silver,gift of anonymous donor,D: Decorative Arts
38,8182,1946.58,"Hollingshead, William",Sugar Bowl ,,1762,5.125,0,0,silver,bequest of James B. Neale,D: Decorative Arts
39,15064,1998.75,"Simpkins, William",porringer,,1762,0,0,0,silver,"gift of Edith Bowers, on behalf of Allegra (Bowers) Griffiths (PA 1981) and Charles A. Bowers (PA 1985)",D: Decorative Arts
40,17499,1965.8,"West, Mary Hinkley",Bed Rug,,1763,95,87.5,0,worked wool on wool ground,"gift of Nelson C. Taintor in memory of Ruth Thayer Taintor, mother of John Thayer Taintor (PA 1935) and Nelson Case Taintor (PA 1943)",D: Decorative Arts
41,3177,1946.28,"Burt, Benjamin",Small Cann,,1765,4.125,2.625,0,silver,bequest of James B. Neale,D: Decorative Arts
42,12237,1930.310,"Myers, Myer",Teapot,,1765,6.1875,9.1875,0,silver with wood handle,gift of anonymous donor,D: Decorative Arts
43,13978,1938.62,"Revere, Paul",A View of Obelisk erected under Liberty-Tree in Boston on the Rejoicings of the Repeal of the--Stamp-Act 1766,,1766,9.4375,13.4375,0,engraving on wove paper,gift of Lessing J. Rosenwald,F: Prints
44,857,1966.67,anonymous,Plan of the City of New York,,1767,31,42.5,1,engraving,gift of Mrs. John M. Woosley,F: Prints
45,17487,1931.19,"West, Benjamin",The Drummond Brothers,,1767,95,58.75,0,oil on canvas,museum purchase,A: Painting
46,16419,1946.95,"Syng II, Jr., Philip",Salver,,1767,0.9375,7.25,0,silver,bequest of James B. Neale,D: Decorative Arts
47,14044,1946.81,"Richardson, Joseph Richardson, Jr. and Nathaniel",Creampot,,1770,4.25,2.125,0,silver,bequest of James B. Neale,D: Decorative Arts
48,13981,1946.88,"Revere, Paul",Sauceboat,,1770,8,4.125,0,silver,bequest of James B. Neale,D: Decorative Arts
49,13975,1930.311,"Revere, Paul",Wine Quart Cann,,1770,5.9375,6.0625,0,silver,gift of anonymous donor,D: Decorative Arts
50,14043,1930.316,"Richardson, Joseph Richardson, Jr. and Nathaniel",Sugar Tongs,,1770,5.75,0,0,silver,gift of anonymous donor,D: Decorative Arts
51,4199,1942.32,"Copley, John Singleton",Mary Elizabeth Martin,,1771,44.75,39,0,oil on canvas,museum purchase,A: Painting
52,769,1946.13,anonymous,Invitation to Boston Fire Society Meeting,,1775,3.3125,6.375,0,engraving with handwriting in ink,gift of Mrs. A. P. Thompson,F: Prints
53,13976,1930.312,"Revere, Paul",Wine Quart Cann,,1775,6.1875,3.75,0,silver,gift of anonymous donor,D: Decorative Arts
54,8057,1944.78,"Hesselius, John",Eleanor Addison,,1775,30.125,25.125,0,oil on canvas,gift of Mrs. Cornelius N. Bliss,A: Painting
55,4197,1935.23,"Copley, John Singleton",The Battle over Patroclus's Body,,1775,13.9375,30,0,black and white chalk with charcoal on paper,museum purchase,E: Work on Paper
56,722,1940.60,anonymous,Bedcover,,1775,87,80,0,woven blue and white,museum purchase,D: Decorative Arts
57,17486,1930.384,"West, Benjamin",Mrs. Benjamin West,,1780,28,23,0,oil on canvas,gift of Mrs. Cornelius N. Bliss,A: Painting
58,17493,1953.21,"West, Benjamin",Hagar and Ishmael,,1780,18.125,21.125,0,"iron gall ink, opaque watercolor, and chalk on laid paper",museum purchase,E: Work on Paper
59,2296,1946.34,"Bartlett, Samuel",Cann,,1780,5.5,0,0,silver,bequest of James B. Neale,D: Decorative Arts
60,8183,1946.62,"Hollingshead, William",Cann,,1782,4.125,0,0,silver,bequest of James B. Neale,D: Decorative Arts
61,10949,1930.354,"Milton, John",1777 Battle of Germantown,,1783,0.125,1.75,0,silver,gift of anonymous donor,B: Sculpture
62,4200,1947.24,"Copley, John Singleton",Study for The Siege of Gibraltar,,1786,10.75,9,0,black and white chalk on paper,museum purchase,E: Work on Paper
63,4196,1935.22,"Copley, John Singleton","General Elliott's Horse, Study for ""The Siege of Gibraltar"" ",,1787,13.375,11.3125,0,graphite and chalk on blue wove paper,museum purchase,E: Work on Paper
64,652,1930.356,anonymous,1787 Expedition to the Pacific,,1787,0,0,0,tin,gift of anonymous donor,B: Sculpture
65,17491,1938.44,"West, Benjamin",Mother and Child,,1789,12.4375,10.0625,0,"sepia ink, wash on laid paper",museum purchase,E: Work on Paper
66,17489,1935.25,"West, Benjamin",Woman and Child,,1789,13.0625,10.3125,0,ink on laid paper,museum purchase,E: Work on Paper
67,17492,1938.66,"West, Benjamin",Moses and The Brazen Serpent,,1790,37.5,28.5,0,oil and crayon on canvas,museum purchase,A: Painting
68,14045,1946.82,"Richardson, Joseph Richardson, Jr. and Nathaniel",Sugar Bowl,,1790,5.5,3.875,0,silver and colored glass,bequest of James B. Neale,D: Decorative Arts
69,995,1987.553,anonymous,Side Chair,,1790,0,0,0,mahogany and maple,museum purchase,D: Decorative Arts
70,5754,1941.23,"Earl, Ralph",Reverend Nathaniel Taylor,,1790,47.75,37,0,oil on canvas,museum purchase,A: Painting
71,4499,1946.48,"David, John",Ladle,,1790,0,14,0,silver,bequest of James B. Neale,D: Decorative Arts
72,16353,1930.1,"Stuart, Gilbert Charles",Sir Edward Loftus,,1790,30.125,25,0,oil on canvas,gift of anonymous donor,A: Painting
73,16354,1930.2,"Stuart, Gilbert Charles",Mrs. Loftus Tottenham,,1790,30.0625,24.875,0,oil on canvas,gift of anonymous donor,A: Painting
74,16828,1940.27,"Trumbull, John",The Cohoes Falls-12 Miles from Albany on the Mohawk River,,1791,2.9375,4.6875,0,ink and ink wash on laid paper,museum purchase,E: Work on Paper
75,3080,1942.22,"Brown, Mather",Tipu Sahib Taking Leave of His Children,,1792,16.625,21.9375,0,chalk on wove paper,museum purchase,E: Work on Paper
76,821,1958.49,anonymous,Dower Chest ,,1793,26.5,50.5,0,wood with polychrome decoration,bequest of Dr. Fred T. Murphy (PA 1893),D: Decorative Arts
77,13085,1946.80,"Parry, Rowland",Soup Ladle,,1795,0,0,0,silver,bequest of James B. Neale,D: Decorative Arts
78,4194,1935.20,"Copley, John Singleton","Study for ""Abraham Offering up Isaac""",,1797,16.625,13.3125,0,graphite on wove paper,museum purchase,E: Work on Paper
79,4195,1935.21,"Copley, John Singleton",Study for Saul Reproved by Samuel for Not Obeying the Commandments of the Lord,,1798,13.3125,11.25,0,graphite and chalk on wove paper,museum purchase,E: Work on Paper
80,811,1956.12,anonymous,Eagle,,1800,8.1875,8.125,0,carved wood,museum purchase,B: Sculpture
81,15280,1983.59,"Smith, Xanthus Russell",On the Pennypack,,1800,12,14,0,oil on paper,gift of Mr. and Mrs. Stuart P. Feld,E: Work on Paper
82,14046,2003.70,"Richter, Henry James",An Emblem of America,,1800,13.75,9.875,0,color engraving,gift of Christopher Motley and Trudy Baltz,F: Prints
